datetime,test case,p,mesh family,fine m,solvers m,coarse m,solver,random rhs,solution warmup steps,solution measurement steps,solution repetitions,DoFs,matrix nnz,metadata,residual norm,setup metadata,solve times,matrix and DOF map copy times,matrix permute times,solver setup times,rhs copy and permute times,solution permute and copy times,exception
2026-02-03T15:54:38.794808+00:00,continuous coefficient 2D,1,"uniform(2D,8)",S8,S6,S6,"CG(AdditiveSchwarz(torch.float32, Inv(torch.float16), CUDSS, const_dofs_per_coarse=False), bsr_matmul=True)",False,0,1,10,393216,4709376,"{'iterations': 73, 'residual norms': [0.4330313403681072, 8.181042765251965, 7.261399965646872, 9.607281909723229, 5.241826029725258, 2.8677249471620816, 2.2824933697265415, 1.319797366504016, 0.7299950753807833, 0.42648044116782086, 0.34362918184666935, 0.25952261112572694, 0.1970003524547564, 0.15975502813615247, 0.10333863972645739, 0.062314761733025796, 0.028326147425648165, 0.01735353034987649, 0.015546745640149158, 0.01617292139211097, 0.01575174677047162, 0.015459900394799154, 0.009312043646826708, 0.003562364829882939, 0.0021674537017255828, 0.001336535673768397, 0.0009412673729415372, 0.0006258497008450097, 0.0004662149715561577, 0.00031895929499197855, 0.0002379245691763047, 0.00022303781948535958, 0.00021479577977257606, 0.00016978172952251784, 0.00015103365690434037, 0.00010901039253576873, 6.12722505198444e-05, 3.893541951310091e-05, 2.3538814770030226e-05, 1.6529514381799738e-05, 1.308283684285554e-05, 1.1975059648039666e-05, 7.486764789842036e-06, 4.844025093388691e-06, 3.151539944062614e-06, 2.5182516576570803e-06, 2.3380295936465483e-06, 1.5980306525795209e-06, 1.3306770162620024e-06, 1.2732401921557556e-06, 1.0655999201189354e-06, 8.530611260449955e-07, 6.385282262984128e-07, 2.731778261409343e-07, 1.529216522739904e-07, 1.0810505585302347e-07, 7.039010616961148e-08, 5.066733438782156e-08, 4.459757525784848e-08, 3.180075359253568e-08, 2.4594175625616505e-08, 2.3655099135510082e-08, 1.9597264792556392e-08, 1.5827304420717242e-08, 1.065340198879382e-08, 7.480985569529814e-09, 6.364301262060261e-09, 5.253064904660173e-09, 4.57878119486674e-09, 2.6841275372902578e-09, 1.5220887225907948e-09, 1.143921034746357e-09, 8.151256888360625e-10, 4.2857657449367145e-10], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",4.2857636780292376e-10,,"[4594.10693359375, 74.40060424804688, 73.63273620605469, 73.47561645507812, 72.76255798339844, 73.45753479003906, 74.75577545166016, 73.64502716064453, 73.84684753417969, 73.56208038330078]",[10.118240356445312],[776.0657348632812],[2624.078125],[0.7369599938392639],[2.6145920753479004],
2026-02-03T15:54:43.528456+00:00,continuous coefficient 2D,1,"uniform(2D,8)",S8,S6,S6,"CG(HybridSchwarz(torch.float64, Inv(torch.float16), CUDSS), bsr_matmul=True)",False,0,1,10,393216,4709376,"{'iterations': 60, 'residual norms': [8.148902343691512, 7.309017552918733, 7.30084968844463, 2.492308702984643, 2.1300213319853567, 0.9696372927036739, 0.47758165027157373, 0.29623228347772645, 0.20874056293818632, 0.15808167085281533, 0.11989114492941148, 0.06982479551014888, 0.031175782967111886, 0.02170672169195757, 0.018120355387490676, 0.01822874250162025, 0.0116868486201295, 0.0061485172343004185, 0.004837018090537011, 0.0024320063582723914, 0.0012144036067240974, 0.0006828244115001529, 0.0006043984137749107, 0.0006196353760714204, 0.00041193730005791506, 0.0002101769603959593, 0.00011052559980022779, 7.281485219265988e-05, 5.996938330190849e-05, 4.439096136478417e-05, 2.5636132946684884e-05, 1.6046455714520097e-05, 1.097742096091359e-05, 9.199293477577451e-06, 8.231981475503607e-06, 4.945308569780502e-06, 3.2187789471224703e-06, 2.0325448341287675e-06, 1.1739362265520116e-06, 7.409642639155691e-07, 4.3805045728833504e-07, 3.870772358005232e-07, 2.9710055021880366e-07, 2.1693756118306955e-07, 1.1793297513124552e-07, 8.712653431288452e-08, 7.54562021236359e-08, 5.710593562034683e-08, 2.9205049837746755e-08, 2.030124821578958e-08, 1.1203197676097956e-08, 7.632684026698139e-09, 4.7550242545810955e-09, 3.893363875047895e-09, 3.535060161101186e-09, 2.6579597108096427e-09, 1.2467975890033107e-09, 8.168275180824767e-10, 6.551215733675424e-10, 4.774373202748567e-10, 2.9686024841488643e-10], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",2.9686377991516925e-10,,"[155.53395080566406, 57.41459274291992, 61.85174560546875, 58.023807525634766, 57.94633483886719, 57.82076644897461, 59.2825927734375, 57.135807037353516, 56.856895446777344, 57.229408264160156]",[20.253503799438477],[798.916259765625],[2870.418212890625],[1.5610560178756714],[1.9549440145492554],
2026-02-03T15:54:50.702129+00:00,continuous coefficient 2D,1,"uniform(2D,8)",S8,S7,S6,"CG(AdditiveSchwarz(torch.float32, Inv(torch.float16), CUDSS, const_dofs_per_coarse=False), bsr_matmul=True)",False,0,1,10,393216,4709376,"{'iterations': 80, 'residual norms': [0.43303134036810725, 8.165823102755255, 7.320189693198754, 10.33623816186109, 5.578935619547926, 3.2582222776448577, 3.2690204182417544, 1.679711823609187, 1.1995393089662723, 0.8730166180139068, 0.43365176885776235, 0.24213092934407252, 0.1848599706020111, 0.14408860526770195, 0.1051857293276183, 0.09740947250230493, 0.07837294498639298, 0.03227794379231799, 0.020535719366877966, 0.021535304686449173, 0.01810538423498966, 0.013362119684060852, 0.014179293924088548, 0.009488032501043494, 0.007326956490130326, 0.006646210235011792, 0.004349674358880762, 0.003531932951159014, 0.0026768968515671525, 0.0019878007730280813, 0.0015415372740781217, 0.0008064421007851952, 0.0005187026822192102, 0.0002466221392105227, 0.00015900053221248216, 0.00015474757670131886, 0.00017366656711813387, 0.00015537654633580115, 0.00010191175211575354, 5.2215911262504536e-05, 4.683653422640489e-05, 4.67424930234782e-05, 3.517462434135053e-05, 2.0233812855320875e-05, 1.189597648111183e-05, 5.653025287573e-06, 3.7420348338334935e-06, 3.4079665580985246e-06, 3.0476767166267035e-06, 2.707298253390244e-06, 1.7621902959466179e-06, 1.1829916204533528e-06, 1.1284376454669813e-06, 9.419321572392493e-07, 7.67219348317633e-07, 5.694036260218751e-07, 4.10163295410807e-07, 3.2495892126849533e-07, 2.7249248263187814e-07, 1.73380695622012e-07, 1.3282923078395106e-07, 8.5443799813068e-08, 5.166754659985324e-08, 4.1060669714613365e-08, 3.6539773350528874e-08, 2.816738982126002e-08, 2.3716499401783626e-08, 1.4835230494002966e-08, 1.1736817096025932e-08, 8.658612925526238e-09, 7.216844253986376e-09, 6.658737707135414e-09, 5.508649701424737e-09, 3.509866875050721e-09, 2.8965516477498772e-09, 2.4020606334231414e-09, 1.9558452865819895e-09, 1.5727853946151385e-09, 9.496444957716358e-10, 5.337640115999225e-10, 3.190079345974425e-10], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",3.190069434426982e-10,,"[3216.400146484375, 83.61529541015625, 81.74249267578125, 81.86860656738281, 80.38188934326172, 83.53206634521484, 81.55593872070312, 80.47350311279297, 82.47500610351562, 82.14582061767578]",[17.60419273376465],[802.119140625],[2050.462646484375],[1.5119680166244507],[0.4987199902534485],
2026-02-03T15:54:54.888431+00:00,continuous coefficient 2D,1,"uniform(2D,8)",S8,S7,S6,"CG(HybridSchwarz(torch.float64, Inv(torch.float16), CUDSS), bsr_matmul=True)",False,0,1,10,393216,4709376,"{'iterations': 64, 'residual norms': [8.148902343691509, 7.617434857078685, 8.738583551358118, 4.529339021277465, 3.2007110832946273, 2.060521555928246, 1.4660740836670683, 0.6608088744596075, 0.4346384576193785, 0.2443043765166287, 0.14631578211055796, 0.11601234084064894, 0.10363186483945684, 0.06443619357588898, 0.037688864337567816, 0.022972850622711653, 0.018169156187302502, 0.018631060589928708, 0.010831444264226161, 0.007740132478380911, 0.005941588619460737, 0.0040341283028977465, 0.0035260869349337657, 0.0022551794154050757, 0.0015604174680821593, 0.0010165280383840141, 0.0006365876669260451, 0.00035973403325898715, 0.00019465204304761698, 0.00011898859513276415, 0.00014475914062800788, 0.00013415135289712957, 5.777796468293705e-05, 4.089561654445257e-05, 4.031792832855869e-05, 2.7642365063186597e-05, 1.2326941077238613e-05, 4.475209247675405e-06, 3.0262400207196276e-06, 2.496781595237438e-06, 2.3712689087850347e-06, 1.8970168949609776e-06, 1.323465677285327e-06, 7.618875666056792e-07, 5.549171215423933e-07, 4.2441732675763553e-07, 2.8708628172837885e-07, 2.0321125969354512e-07, 1.3067834478414226e-07, 8.991538487051393e-08, 7.72843654460029e-08, 4.850277382488384e-08, 2.8889676275108405e-08, 1.8162498363759822e-08, 1.4087711098815301e-08, 1.1468166614899269e-08, 9.214384188017088e-09, 6.92066066188242e-09, 4.141786129712758e-09, 3.39188987743123e-09, 2.716656958116213e-09, 1.8313195713036482e-09, 1.0932273210786948e-09, 6.167161349139795e-10, 3.9702022580818814e-10], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",3.970197284062791e-10,,"[238.0069122314453, 63.57209777832031, 67.16582489013672, 62.436737060546875, 62.11145782470703, 61.4205436706543, 61.48659133911133, 61.332862854003906, 61.34204864501953, 61.24787139892578]",[15.33084774017334],[864.6651611328125],[2199.591796875],[1.4728000164031982],[0.4647040069103241],
2026-02-03T15:54:59.107394+00:00,continuous coefficient 2D,1,"uniform(2D,8)",S8,S8,S6,"CG(AdditiveSchwarz(torch.float32, Inv(torch.float16), CUDSS, const_dofs_per_coarse=False), bsr_matmul=True)",False,0,1,10,393216,4709376,"{'iterations': 88, 'residual norms': [0.4330313403681072, 8.157128839535861, 6.667257646243541, 8.357837679950542, 6.039276156417153, 4.286405884664213, 5.096714956158406, 3.6426268793963508, 2.3819222977598558, 1.757128596385203, 1.2548448706660562, 1.0186447173550974, 0.6132346156867551, 0.5034990556670793, 0.2853750623703184, 0.16787731296569286, 0.10960404870540985, 0.10457121071652532, 0.10011513401174241, 0.09597402433507778, 0.05643463654885329, 0.03589820452113568, 0.019704136875534878, 0.013658952176775511, 0.011766705476236417, 0.011735606146191173, 0.008914400747221787, 0.007802212020981462, 0.007075192612673774, 0.005413696662814758, 0.005805076860023062, 0.004767459051178814, 0.004542224589863406, 0.0030089946237865585, 0.0013203134942453949, 0.0011834003941619512, 0.0007528066598201231, 0.0005075287205567608, 0.00022245663995999485, 0.00014166451750901557, 0.00010111394756882109, 9.225076445528594e-05, 7.046984663566285e-05, 4.357708869521886e-05, 2.6291031594379673e-05, 1.571881348025103e-05, 1.0556469723194624e-05, 9.851627025351538e-06, 9.961212441209608e-06, 8.072245780400914e-06, 5.335214553903624e-06, 4.280274396734325e-06, 4.41793090997694e-06, 3.951186548595067e-06, 3.228992006580067e-06, 2.955817828072436e-06, 2.6290610028333095e-06, 1.7767312529626309e-06, 1.2470678652872112e-06, 8.254345311291641e-07, 4.982634849412421e-07, 2.920863321567826e-07, 2.3136797922529887e-07, 1.64898106007919e-07, 1.3221782086061918e-07, 1.1399908161574601e-07, 9.025298425832174e-08, 7.042651569764247e-08, 5.224698681110199e-08, 3.817996926072054e-08, 2.4103269299544715e-08, 1.9096289500815626e-08, 1.6038833834197058e-08, 1.3871549275816515e-08, 1.2981508579435156e-08, 1.133072136921938e-08, 8.708834781266633e-09, 6.472638976329239e-09, 5.720264396071462e-09, 4.754783373752446e-09, 4.514494817843124e-09, 3.759796578522726e-09, 2.6033091484150114e-09, 2.305324263036824e-09, 1.933355076468005e-09, 1.2907484832547135e-09, 9.00679290424124e-10, 6.635040779854339e-10, 4.3244313554979135e-10], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",4.324438853093909e-10,,"[91.64288330078125, 88.97987365722656, 87.79280090332031, 93.2017593383789, 89.615234375, 89.10332489013672, 95.1193618774414, 92.45356750488281, 89.07846069335938, 91.89961242675781]",[8.732799530029297],[879.7955932617188],[2081.42041015625],[1.4874240159988403],[0.5056639909744263],
2026-02-03T15:55:03.188562+00:00,continuous coefficient 2D,1,"uniform(2D,8)",S8,S8,S6,"CG(HybridSchwarz(torch.float64, Inv(torch.float16), CUDSS), bsr_matmul=True)",False,0,1,10,393216,4709376,"{'iterations': 85, 'residual norms': [8.148902343691512, 7.178151429232, 7.612656755062543, 5.084692096004608, 4.623231317378298, 4.9240050754806175, 2.949419517163284, 1.9545618152195736, 1.555761869147869, 0.9821257329907761, 0.7728683400576679, 0.4079343404148423, 0.2363369852966716, 0.15056611518221372, 0.10575426436834603, 0.10393668893561163, 0.0993121006998523, 0.06373543151273589, 0.04277683051858049, 0.018247087600842662, 0.011419910607854, 0.011616492977970754, 0.010537369588271618, 0.007713019312792568, 0.008292566587794441, 0.007105166134869893, 0.005628952016873166, 0.0031889951811246873, 0.0025663427131110274, 0.0015044153715416963, 0.0011627531340452418, 0.0006947333849912457, 0.0005349117863164962, 0.000328024339529471, 0.0001920606019862737, 0.00019355959430776017, 0.0002157184843282345, 0.00018183051667040916, 0.00014904716295387964, 9.137774466018248e-05, 6.172509679047427e-05, 5.462524954715247e-05, 4.3904553264704184e-05, 2.7118679778522498e-05, 1.67287242074241e-05, 1.364078428074334e-05, 9.339737347316303e-06, 6.602007247211651e-06, 4.748481240736734e-06, 4.478188050465865e-06, 4.531633838912298e-06, 2.791582679043216e-06, 2.072209215065575e-06, 1.999903139804779e-06, 1.6880851333287067e-06, 1.599318678521718e-06, 1.18004286173588e-06, 6.819553517224662e-07, 4.838760114968262e-07, 3.898490634658057e-07, 2.7770017965240465e-07, 2.2036379915340745e-07, 1.8347304354652457e-07, 1.1807107754930829e-07, 8.836746964887866e-08, 6.470974967756127e-08, 4.687280623866428e-08, 4.298275375695393e-08, 3.515408235630841e-08, 2.819729039211407e-08, 2.4304141945121095e-08, 1.7740914365295722e-08, 1.3571643796127208e-08, 1.3021428590550526e-08, 1.1479708368215329e-08, 8.29754635338996e-09, 5.573021246021506e-09, 4.0219394535135275e-09, 2.686418402217651e-09, 2.0752879883609144e-09, 1.359723518164492e-09, 8.572774628258511e-10, 6.841713097773048e-10, 5.383287493590003e-10, 4.5653231957661657e-10, 3.8450607635986646e-10], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",3.8450914123183535e-10,,"[88.70665740966797, 84.41241455078125, 88.7248306274414, 83.33548736572266, 85.49718475341797, 83.9326400756836, 85.12505340576172, 84.36863708496094, 85.67692565917969, 84.06390380859375]",[13.538496017456055],[833.4271240234375],[2036.219482421875],[1.4847040176391602],[0.5020800232887268],
2026-02-03T15:55:08.599671+00:00,continuous coefficient 2D,1,"uniform(2D,8)",S8,S7,S7,"CG(AdditiveSchwarz(torch.float32, Inv(torch.float16), CUDSS, const_dofs_per_coarse=False), bsr_matmul=True)",False,0,1,10,393216,4709376,"{'iterations': 54, 'residual norms': [0.43303134036810725, 9.702932295880931, 8.731283476534895, 9.860525467620336, 2.7655197667921687, 0.5317297795648602, 0.28814789982733074, 0.197458677233469, 0.13983596240824728, 0.07396011692399627, 0.05166737643528646, 0.02169724081363167, 0.0134914222425177, 0.012312154473309014, 0.011355587911468823, 0.006692536243685333, 0.005296880311950728, 0.0026131897318158433, 0.001347146247766307, 0.0006765516516740577, 0.00040486553091368944, 0.0003208663740122146, 0.00031684325302415477, 0.0002214744989567809, 0.00013412690262280024, 9.316961800547147e-05, 3.4376293584412305e-05, 1.6158721229190306e-05, 1.1630387411101004e-05, 8.99988802104183e-06, 8.081538137745395e-06, 6.341487357317102e-06, 3.7814621613477112e-06, 2.6389100368781464e-06, 1.5189925903183463e-06, 6.830377039600385e-07, 3.5849490163012773e-07, 2.6414947850593935e-07, 2.2787188056971082e-07, 1.8865135688330976e-07, 1.106188214567148e-07, 7.316873106021356e-08, 6.234296514698883e-08, 4.062892400900505e-08, 2.6292165059153076e-08, 1.4377702787483162e-08, 9.760619560358127e-09, 5.5292450162892614e-09, 3.2219585939108227e-09, 2.316383797747821e-09, 2.191864115054981e-09, 1.5781013997434015e-09, 1.1839586323734544e-09, 6.433426268709077e-10, 3.7032017531817225e-10], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",3.7031884658097355e-10,,"[1469.767822265625, 55.563873291015625, 55.67772674560547, 57.99238586425781, 55.3680305480957, 55.28335952758789, 55.3460807800293, 55.32457733154297, 57.02320098876953, 55.33036804199219]",[9.657088279724121],[867.384521484375],[2197.207275390625],[0.663424015045166],[0.505728006362915],
2026-02-03T15:55:12.504283+00:00,continuous coefficient 2D,1,"uniform(2D,8)",S8,S7,S7,"CG(HybridSchwarz(torch.float64, Inv(torch.float16), CUDSS), bsr_matmul=True)",False,0,1,10,393216,4709376,"{'iterations': 38, 'residual norms': [9.69809887601837, 9.169188623091781, 4.358596270119873, 0.7589793143852461, 0.35484353602266977, 0.11799388759098922, 0.07552648112623275, 0.052513350331273176, 0.02528634031773852, 0.015180349960517748, 0.01289593685048338, 0.006791047911049851, 0.0026238770368409354, 0.0012283799547983681, 0.0004885830062267666, 0.0002135469241304579, 0.0001935347754076372, 0.00012616622151529494, 6.974449617280846e-05, 2.8665860209985187e-05, 1.0780627571054924e-05, 5.8808530682677356e-06, 3.6906219550755985e-06, 1.8918777274597695e-06, 1.5792920291332851e-06, 9.453832112527895e-07, 4.505334991246346e-07, 3.337244136749292e-07, 1.702186057166084e-07, 7.531573612075047e-08, 2.399126506732469e-08, 1.503114251554214e-08, 1.1518232035790994e-08, 7.963072945966408e-09, 4.1661779965344064e-09, 2.6455636666271654e-09, 1.112400771870793e-09, 7.264772969916988e-10, 3.823245935429885e-10], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",3.8232346973866736e-10,,"[53.31155014038086, 38.63235092163086, 38.39894485473633, 38.47062301635742, 37.76787185668945, 38.03308868408203, 37.931007385253906, 37.67228698730469, 37.78041458129883, 37.73417663574219]",[15.903776168823242],[896.7816772460938],[2274.943115234375],[1.5356160402297974],[0.4872959852218628],
2026-02-03T15:55:16.513659+00:00,continuous coefficient 2D,1,"uniform(2D,8)",S8,S8,S7,"CG(AdditiveSchwarz(torch.float32, Inv(torch.float16), CUDSS, const_dofs_per_coarse=False), bsr_matmul=True)",False,0,1,10,393216,4709376,"{'iterations': 58, 'residual norms': [0.43303134036810725, 9.700225746571743, 8.503042988487211, 8.29643781992021, 4.008871416693662, 0.9794446367413575, 0.4803423229742196, 0.19878008952471457, 0.1073862807702348, 0.08424374650082488, 0.058915575572666704, 0.025768333614280953, 0.02169358126222517, 0.013824689744256255, 0.013292642767009144, 0.008700482936580795, 0.006680974233598645, 0.005485104341125291, 0.00320822590349928, 0.0012154967807383337, 0.0005796042542800832, 0.0005717718605546046, 0.0003676210147154653, 0.00021652024104023014, 0.00017301612611504856, 0.00015910027729160064, 8.907510359923844e-05, 5.878375926318938e-05, 3.4503358283517775e-05, 1.9242778656293634e-05, 1.017783234843248e-05, 6.80228391003419e-06, 6.5086269339773574e-06, 4.735180624163623e-06, 3.1679264331251905e-06, 2.3290391184564e-06, 1.3973062473693539e-06, 9.19357928157431e-07, 6.447618263031369e-07, 4.911347548882941e-07, 2.6491949261368117e-07, 1.6317873087713582e-07, 1.0840519620003515e-07, 8.242856357476259e-08, 5.156710084297709e-08, 4.561621751596565e-08, 3.180284779263502e-08, 2.0066789222096366e-08, 1.3795814709862735e-08, 1.031779660924503e-08, 6.956700837137692e-09, 4.1839862793515455e-09, 2.5699780305697177e-09, 1.563237672874173e-09, 9.132159269673025e-10, 6.934002066084862e-10, 5.847731814624567e-10, 4.73436725757948e-10, 3.070907343366004e-10], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",3.0709170375441315e-10,,"[63.098175048828125, 60.39209747314453, 60.6710090637207, 60.39756774902344, 60.220096588134766, 60.44268798828125, 62.814208984375, 63.05366516113281, 59.52211380004883, 59.28575897216797]",[14.87564754486084],[882.1566772460938],[2167.80712890625],[1.457919955253601],[0.49190399050712585],
2026-02-03T15:55:20.502985+00:00,continuous coefficient 2D,1,"uniform(2D,8)",S8,S8,S7,"CG(HybridSchwarz(torch.float64, Inv(torch.float16), CUDSS), bsr_matmul=True)",False,0,1,10,393216,4709376,"{'iterations': 43, 'residual norms': [9.69809887601837, 9.257547711545007, 6.359541019035427, 1.938762415050878, 0.7194829119603899, 0.355356439337118, 0.19432925982025928, 0.11944147657215037, 0.04732977799544401, 0.04055655322102464, 0.023723002201747594, 0.017349759802039372, 0.008846329899575683, 0.005993512215785834, 0.005014223373345333, 0.002114494172001008, 0.0006166310055995825, 0.00032558054625773914, 0.0002264009216200143, 8.309177675779568e-05, 6.0959836934408614e-05, 3.260250443729368e-05, 2.138366098466568e-05, 1.4611695656949002e-05, 1.11453127510489e-05, 7.679749275090497e-06, 3.6349042126303905e-06, 1.9242306712623216e-06, 8.728584296637086e-07, 4.19932787770189e-07, 2.3135617578791523e-07, 1.301180383065334e-07, 8.393534219359564e-08, 6.114443434726055e-08, 3.8512773374671815e-08, 2.364030793567245e-08, 1.6626298082948992e-08, 1.1821224010169291e-08, 6.149589960144322e-09, 4.141958692879101e-09, 2.432581876609561e-09, 1.3561250252168363e-09, 7.48662734337963e-10, 4.0274402936001916e-10], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",4.0274628454812796e-10,,"[50.11231994628906, 43.56415939331055, 43.4502067565918, 43.544193267822266, 43.30598449707031, 43.617183685302734, 44.00425720214844, 42.283329010009766, 42.91187286376953, 43.06281661987305]",[15.780320167541504],[894.4161376953125],[2272.02099609375],[0.6782079935073853],[0.509663999080658],
